family,seed,n_units,k,E_dyn,decoded_add_vs_joint_k12_rmse
M0,291301,101,0,0.8445123916874975,
M0,291301,101,1,0.3758115338825863,
M0,291301,101,3,0.3123921718987043,
M0,291301,101,6,0.2530343954039013,
M0,291301,101,12,0.19285949404190472,0.001178096979856491
M0,291302,101,0,0.7564476642089476,
M0,291302,101,1,0.5932865330073288,
M0,291302,101,3,0.5771796608978973,
M0,291302,101,6,0.47146136219539053,
M0,291302,101,12,0.2931273033570621,0.0021452850196510553
M0,291303,101,0,0.8879404608873692,
M0,291303,101,1,0.6153916162807878,
M0,291303,101,3,0.6530937221545428,
M0,291303,101,6,0.5772308631252926,
M0,291303,101,12,0.4209737892345459,0.0033235191367566586
M1,291301,101,0,0.6109099368738613,
M1,291301,101,1,0.2828912069883325,
M1,291301,101,3,0.26885948063465465,
M1,291301,101,6,0.24822046220965654,
M1,291301,101,12,0.2416193866311879,0.008762695826590061
M1,291302,101,0,0.5650782930084046,
M1,291302,101,1,0.25236248821010226,
M1,291302,101,3,0.2437099396858898,
M1,291302,101,6,0.2108824472654555,
M1,291302,101,12,0.17923703513982062,0.006981162820011377
M1,291303,101,0,0.6747614603609645,
M1,291303,101,1,0.2569698211276667,
M1,291303,101,3,0.2700687025355004,
M1,291303,101,6,0.2541775693439286,
M1,291303,101,12,0.2290687025415209,0.009682516567409039
M2,291501,101,0,0.5026084062731111,
M2,291501,101,1,0.23778211772052665,
M2,291501,101,3,0.2480416107538032,
M2,291501,101,6,0.23885051151936443,
M2,291501,101,12,0.21777711764048482,0.009457494132220745
M2,291502,101,0,0.4556581630355678,
M2,291502,101,1,0.2759923265505783,
M2,291502,101,3,0.2682344502366837,
M2,291502,101,6,0.2478295103692102,
M2,291502,101,12,0.21387701770485013,0.010063779540359974
M2,291503,101,0,0.6961432383615334,
M2,291503,101,1,0.26820053442428565,
M2,291503,101,3,0.2691462614937772,
M2,291503,101,6,0.24152541397133517,
M2,291503,101,12,0.21933657994924521,0.01411383505910635
