model_id,stratum,intended_route,control,denominator,dominance_fraction_anchor,dominance_fraction_future,intended_median_anchor,control_median_anchor,intended_median_future,control_median_future,paired_dominance_threshold,pair_pass
development_model_1,S1_no_contact,addressable_affine_composed,matched_wrong_vector,256,0.99609375,0.9921875,0.08510572806171665,0.38037736876263906,0.07934712492126106,0.22850538760142736,0.8,true
development_model_1,S2_interaction_sensitive,addressable_affine_composed,matched_wrong_vector,256,0.67578125,0.671875,0.25366332900103483,0.3054472812261858,0.25297385851173015,0.2960098480946058,0.8,false
development_model_2,S1_no_contact,addressable_affine_composed,matched_wrong_vector,256,0.85546875,0.88671875,0.19297592566082356,0.3190854237291233,0.13960213399852328,0.2188772278320169,0.8,true
development_model_2,S2_interaction_sensitive,addressable_affine_composed,matched_wrong_vector,256,0.73046875,0.69921875,0.26130948701101275,0.2985405091040998,0.26327774922384706,0.28217952995488893,0.8,false
development_model_3,S1_no_contact,addressable_affine_composed,matched_wrong_vector,256,0.84375,0.78515625,0.1900894895771803,0.3582400592603694,0.14033229129499564,0.22069283808735693,0.8,false
development_model_3,S2_interaction_sensitive,addressable_affine_composed,matched_wrong_vector,256,0.78125,0.734375,0.27236885148982215,0.3434854602411396,0.2830190755424995,0.3163116230406231,0.8,false
development_model_1,S1_no_contact,addressable_affine_composed,no_patch,256,1.0,1.0,0.08510572806171665,0.33513849663218587,0.07934712492126106,0.2042617255410482,0.8,true
development_model_1,S2_interaction_sensitive,addressable_affine_composed,no_patch,256,0.8046875,0.70703125,0.25366332900103483,0.33590269172657106,0.25297385851173015,0.32397930264595165,0.8,false
development_model_2,S1_no_contact,addressable_affine_composed,no_patch,256,0.921875,0.9765625,0.19297592566082356,0.3361731700499734,0.13960213399852328,0.20442309789161833,0.8,true
development_model_2,S2_interaction_sensitive,addressable_affine_composed,no_patch,256,0.8984375,0.671875,0.26130948701101275,0.3296493620983233,0.26327774922384706,0.3270077530791289,0.8,false
