family,seed,k,n_units,dynamic_error_U4_fraction,dynamic_error_complement_fraction,E_dyn_U4,E_dyn_complement
M1,291301,0,101,0.3041806831546878,0.6958193168453122,0.57580379864752,0.605535933509793
M1,291301,1,101,0.015485699660862948,0.9845143003391366,0.419356321623797,0.28072089000634204
M1,291301,3,101,0.02263127377093831,0.9773687262290606,0.4437828827395834,0.26873571687044767
M1,291301,6,101,0.01968862214078224,0.9803113778592168,0.3346330582476659,0.24565057680857666
M1,291301,12,101,0.013373793437157597,0.9866262065628388,0.2503379422498258,0.24103538804605557
M1,291302,0,101,0.2607986475898434,0.7392013524101563,0.6443447522123654,0.5205025492828045
M1,291302,1,101,0.015861827744635404,0.9841381722553645,0.2942534064292103,0.2512263200183682
M1,291302,3,101,0.018030449291080042,0.9819695507089196,0.2615082096395009,0.2439166443923325
M1,291302,6,101,0.01678798692533512,0.9832120130746547,0.224741918050479,0.2111746122727631
M1,291302,12,101,0.01637832860386897,0.9836216713961096,0.18429306190276806,0.1787715472828245
M1,291303,0,101,0.31798795406936914,0.6820120459306298,0.6854033918990137,0.6840324096816756
M1,291303,1,101,0.01587897468595626,0.984121025314041,0.36369879879787453,0.2566069568814324
M1,291303,3,101,0.019953779092652068,0.9800462209073472,0.28593243832619736,0.27172179285855175
M1,291303,6,101,0.020799508140965723,0.9792004918590338,0.24184591173822675,0.25792717269733595
M1,291303,12,101,0.018417758314805913,0.9815822416851524,0.268417685830679,0.22689204186532
M2,291501,0,101,0.1752399670902493,0.8247600329097506,0.431164479338927,0.5101865965056825
M2,291501,1,101,0.013667929481550137,0.9863320705184465,0.23258547061781978,0.2380620707074088
M2,291501,3,101,0.011712386973516963,0.9882876130264826,0.24389003847304092,0.24906327439454534
M2,291501,6,101,0.0113402584754601,0.9886597415245383,0.2660800433618606,0.2396247666051888
M2,291501,12,101,0.009794233805789527,0.9902057661942025,0.20531690113783804,0.21740802207969748
M2,291502,0,101,0.1684825841279845,0.8315174158720158,0.5155122393122368,0.4514940633984189
M2,291502,1,101,0.021089906647762335,0.9789100933522374,0.35341567227997783,0.27540462794386084
M2,291502,3,101,0.01657979992232846,0.9834202000776701,0.2879725187667997,0.2679995580199055
M2,291502,6,101,0.01672343401301237,0.9832765659869828,0.27733334958296557,0.24857840690348046
M2,291502,12,101,0.018488452048150483,0.981511547951848,0.23081904958222785,0.21432599944017894
M2,291503,0,101,0.2873610878392384,0.7126389121607614,0.7003272625783581,0.6411242367236125
M2,291503,1,101,0.006806892460410055,0.9931931075395892,0.24079205852860847,0.2719154594541542
M2,291503,3,101,0.007579714500622597,0.9924202854993766,0.22820232717097125,0.2673949436365243
M2,291503,6,101,0.008078150365429144,0.9919218496345662,0.22901983984544627,0.23880584369929653
M2,291503,12,101,0.007607453542413329,0.9923925464575809,0.20751736877361698,0.21886243228963545
