model_id,stratum,operator_or_layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_1,S1_no_contact,joint_aware_affine,matched_wrong_vector,256,0.0836669401272199,0.38194897922390714,0.99609375,0.07550930368159253,0.22755749759229751,0.99609375,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,matched_wrong_vector,256,0.24160141369458332,0.290135135701366,0.671875,0.24980994618975427,0.2951812451353829,0.66796875,false
development_model_2,S1_no_contact,joint_aware_affine,matched_wrong_vector,256,0.17356982854015274,0.30393193216734704,0.8671875,0.12505564742639133,0.19827414667462645,0.92578125,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,matched_wrong_vector,256,0.260695414791252,0.2939116097936989,0.73046875,0.2531831850998758,0.27653758258996597,0.7109375,false
development_model_3,S1_no_contact,joint_aware_affine,matched_wrong_vector,256,0.1949386695812478,0.35455766781063636,0.8515625,0.13798202261062995,0.220416575289516,0.80078125,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,matched_wrong_vector,256,0.26335524884227557,0.3429253920529085,0.81640625,0.27580001657687003,0.3110576473723166,0.7265625,false
development_model_1,S1_no_contact,joint_aware_affine,no_patch,256,0.0836669401272199,0.3331485146434702,1.0,0.07550930368159253,0.20630086036727294,1.0,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,no_patch,256,0.24160141369458332,0.3295746390444808,0.82421875,0.24980994618975427,0.31752528388947,0.66796875,false
development_model_2,S1_no_contact,joint_aware_affine,no_patch,256,0.17356982854015274,0.338068478933661,0.890625,0.12505564742639133,0.2063104935502021,0.9921875,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,no_patch,256,0.260695414791252,0.32593180119551246,0.90625,0.2531831850998758,0.318915237064719,0.6796875,false
development_model_3,S1_no_contact,joint_aware_affine,no_patch,256,0.1949386695812478,0.3334252125703959,0.82421875,0.13798202261062995,0.2039934162953374,0.84765625,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,no_patch,256,0.26335524884227557,0.3258863525139992,0.76171875,0.27580001657687003,0.31859921873377633,0.6953125,false
development_model_1,S1_no_contact,joint_aware_affine,random_equal_norm,256,0.0836669401272199,0.32807391163845967,1.0,0.07550930368159253,0.2116763913889777,1.0,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,random_equal_norm,256,0.24160141369458332,0.32530784533834345,0.8203125,0.24980994618975427,0.324266711825139,0.6953125,false
development_model_2,S1_no_contact,joint_aware_affine,random_equal_norm,256,0.17356982854015274,0.32990584181195937,0.9296875,0.12505564742639133,0.206324581014025,0.984375,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,random_equal_norm,256,0.260695414791252,0.3253749849776463,0.8828125,0.2531831850998758,0.32561288935817423,0.7109375,false
development_model_3,S1_no_contact,joint_aware_affine,random_equal_norm,256,0.1949386695812478,0.3307968452791453,0.87109375,0.13798202261062995,0.20738756836995986,0.8515625,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,random_equal_norm,256,0.26335524884227557,0.32534037337542376,0.75,0.27580001657687003,0.32091161303722415,0.71875,false
development_model_1,S1_no_contact,joint_aware_affine,wrong_object,256,0.0836669401272199,0.33287943738334824,1.0,0.07550930368159253,0.25794916677267127,1.0,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,wrong_object,256,0.24160141369458332,0.33592805191220887,0.8515625,0.24980994618975427,0.35835721259944375,0.734375,false
development_model_2,S1_no_contact,joint_aware_affine,wrong_object,256,0.17356982854015274,0.33140428587178394,0.9609375,0.12505564742639133,0.2409934136031846,1.0,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,wrong_object,256,0.260695414791252,0.3197448745505483,0.71484375,0.2531831850998758,0.34818137067465116,0.73046875,false
development_model_3,S1_no_contact,joint_aware_affine,wrong_object,256,0.1949386695812478,0.31934739241721266,0.82421875,0.13798202261062995,0.2617132652927523,0.9921875,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,wrong_object,256,0.26335524884227557,0.31990821211553166,0.73828125,0.27580001657687003,0.3491533923046637,0.78515625,false
development_model_1,S1_no_contact,minimal_joint_correction,matched_wrong_vector,256,0.08069109718942412,0.38263665982528505,0.99609375,0.07896825016810816,0.22307987000030965,0.9921875,true
