model_id,operator,fit_family,unit_count,coefficient_rmse,coefficient_relative_error_median,coefficient_relative_error_p90,ridge_lambda,intercept_penalized
development_model_1,joint_aware_affine,original_single_axis_fit,1024,0.64534791476239,0.25359545210641526,0.4170709542925206,0.0001,false
development_model_1,joint_aware_affine,new_joint_fit,1024,0.6671031570879393,0.2829567232586474,0.771247532420002,0.0001,false
development_model_2,joint_aware_affine,original_single_axis_fit,1024,0.8330890373406614,0.3757522377649519,0.9223433368008689,0.0001,false
development_model_2,joint_aware_affine,new_joint_fit,1024,0.8765527690087345,0.5896722969686128,1.2154698001159852,0.0001,false
development_model_3,joint_aware_affine,original_single_axis_fit,1024,1.4003949095154524,0.5757473654352727,0.9661192607934238,0.0001,false
development_model_3,joint_aware_affine,new_joint_fit,1024,1.2223737067404343,0.5560345253413554,1.279153135046813,0.0001,false
development_model_1,minimal_joint_correction,original_single_axis_fit,1024,0.6453857778233667,0.2546644263966362,0.4188495351401638,0.0001,false
development_model_1,minimal_joint_correction,new_joint_fit,1024,0.6441117961321109,0.2622774331797463,0.7890906538799537,0.0001,false
development_model_2,minimal_joint_correction,original_single_axis_fit,1024,0.8331139355850135,0.3760469485541841,0.9218298059941482,0.0001,false
development_model_2,minimal_joint_correction,new_joint_fit,1024,0.8749328592488869,0.6024886230941351,1.20642895396893,0.0001,false
development_model_3,minimal_joint_correction,original_single_axis_fit,1024,1.4003896456865852,0.5765088394087976,0.9662073942160055,0.0001,false
development_model_3,minimal_joint_correction,new_joint_fit,1024,1.2210269350236655,0.5481031948413726,1.29249339572776,0.0001,false
development_model_1,original_affine,original_single_axis_fit,1024,0.6365801278397953,0.2635738525830703,0.4330317361813298,0.0001,false
development_model_1,original_affine,new_joint_fit,1024,0.6903105497464219,0.2930792818306558,0.8168242995601395,0.0001,false
development_model_2,original_affine,original_single_axis_fit,1024,0.808015083694422,0.3504730470309869,1.1432749625293939,0.0001,false
development_model_2,original_affine,new_joint_fit,1024,0.9384388117325426,0.656575939016742,1.3722032131163586,0.0001,false
development_model_3,original_affine,original_single_axis_fit,1024,1.3943884393332702,0.5958283922440324,0.9791761106303213,0.0001,false
development_model_3,original_affine,new_joint_fit,1024,1.2417030093791062,0.5737093961625073,1.3228069913221512,0.0001,false
