model_id,stratum,operator,unit_count,intended_absolute_cell_pass,wrong_object_specificity_pass,random_absolute_cell_pass,static_controls_pass,backward_cell_pass,evaluation_units_used_for_fit,operator_backward_panel_pass,random_negative_control_panel_pass
development_model_1,S1_no_contact,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_2,S1_no_contact,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_3,S1_no_contact,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,256,true,true,false,true,true,false,true,true
development_model_1,S1_no_contact,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_1,S2_interaction_sensitive,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_2,S1_no_contact,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_3,S1_no_contact,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,256,true,true,false,true,true,false,true,true
development_model_1,S1_no_contact,original_affine,256,true,true,false,true,true,false,true,true
development_model_1,S2_interaction_sensitive,original_affine,256,true,true,false,true,true,false,true,true
development_model_2,S1_no_contact,original_affine,256,true,true,false,true,true,false,true,true
development_model_2,S2_interaction_sensitive,original_affine,256,true,true,false,true,true,false,true,true
development_model_3,S1_no_contact,original_affine,256,true,true,false,true,true,false,true,true
development_model_3,S2_interaction_sensitive,original_affine,256,true,true,false,true,true,false,true,true
