scope,family,seed,n_checkpoints,n_units,coverage,anchor_rmse,k1_rmse,t19_rmse
checkpoint,M0,291301,1,512,0.888671875,0.058988431689795826,0.058233185728909675,0.17269800965594595
checkpoint,M0,291302,1,512,0.859375,0.05961528233331903,0.058045855689517936,0.18029491381972795
checkpoint,M0,291303,1,512,0.880859375,0.06140224556519809,0.05729027657208044,0.1794064619739627
checkpoint,M1,291301,1,512,1.0,0.028365727519458553,0.03817022006910549,0.12976825358918517
checkpoint,M1,291302,1,512,0.94921875,0.019515306505225517,0.024691912606652676,0.0860373304942024
checkpoint,M1,291303,1,512,0.95703125,0.03381834889722064,0.040119650721733,0.14428894692414646
checkpoint,M2,291501,1,512,0.9609375,0.014488367886492355,0.026678492318310647,0.049844653204786406
checkpoint,M2,291502,1,512,0.984375,0.014353699472022249,0.02407415645123595,0.04998050727766923
checkpoint,M2,291503,1,512,0.955078125,0.015683993038881166,0.029812013026545008,0.04699491039137733
family_median,M0,,3,512,0.880859375,0.05961528233331903,0.058045855689517936,0.1794064619739627
family_median,M1,,3,512,0.95703125,0.028365727519458553,0.03817022006910549,0.12976825358918517
family_median,M2,,3,512,0.9609375,0.014488367886492355,0.026678492318310647,0.049844653204786406
