assay,anchor,public_model,S1_pass,S2_pass,checkpoint_pass,S1_joint_coverage,S2_joint_coverage
B1_per_anchor_existence,5,Fresh model 1,true,true,true,0.8671875,0.953125
B1_per_anchor_existence,5,Fresh model 2,true,true,true,1.0,0.8984375
B1_per_anchor_existence,5,Fresh model 3,false,true,false,0.71875,0.9609375
B1_per_anchor_existence,6,Fresh model 1,true,true,true,0.875,0.921875
B1_per_anchor_existence,6,Fresh model 2,true,true,true,1.0,0.90625
B1_per_anchor_existence,6,Fresh model 3,false,true,false,0.7265625,0.9765625
B1_per_anchor_existence,7,Fresh model 1,true,true,true,0.8515625,0.9609375
B1_per_anchor_existence,7,Fresh model 2,true,true,true,1.0,0.9140625
B1_per_anchor_existence,7,Fresh model 3,false,true,false,0.7421875,0.9609375
B1_per_anchor_existence,8,Fresh model 1,true,true,true,0.859375,0.9375
B1_per_anchor_existence,8,Fresh model 2,true,true,true,1.0,0.9140625
B1_per_anchor_existence,8,Fresh model 3,false,true,false,0.7109375,0.9765625
B1_per_anchor_existence,9,Fresh model 1,true,true,true,0.8515625,0.8984375
B1_per_anchor_existence,9,Fresh model 2,true,true,true,1.0,0.921875
B1_per_anchor_existence,9,Fresh model 3,false,true,false,0.71875,0.9296875
B2_frozen_t7_transport,5,Fresh model 1,true,true,true,0.859375,0.984375
B2_frozen_t7_transport,5,Fresh model 2,true,true,true,1.0,0.9140625
B2_frozen_t7_transport,5,Fresh model 3,false,true,false,0.7109375,0.9609375
B2_frozen_t7_transport,6,Fresh model 1,true,true,true,0.875,0.953125
B2_frozen_t7_transport,6,Fresh model 2,true,true,true,1.0,0.90625
B2_frozen_t7_transport,6,Fresh model 3,false,true,false,0.71875,0.9765625
B2_frozen_t7_transport,8,Fresh model 1,true,true,true,0.875,0.921875
B2_frozen_t7_transport,8,Fresh model 2,true,true,true,1.0,0.9140625
B2_frozen_t7_transport,8,Fresh model 3,false,true,false,0.7109375,0.9765625
B2_frozen_t7_transport,9,Fresh model 1,true,true,true,0.8828125,0.875
B2_frozen_t7_transport,9,Fresh model 2,true,true,true,1.0,0.9296875
B2_frozen_t7_transport,9,Fresh model 3,false,true,false,0.703125,0.9296875
